CL_IRFCL_INDICATOR_PUB,International Reserves and Foreign Currency Liquidity (IRFCL) Indicator
IRFCLDT2_IRFCL49T_IN_EUR_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, related to reverse repos, Inflows"
IRFCLDT3_IRFCL5T_EC17_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Bought calls, Long positions"
IRFCLDT4_IRFCL69X_XDC_IRFCL13,"Memorandum items, Securities lent and on repo, borrowed or acquired but not included in section I"
IRFCLDT3_IRFCL5T_EC1_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Written Calls, Short positions"
IRFCLDT3_IRFCL5T_EC9_LP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Written Puts, Long positions"
IRFCLDT3_IRFCL5T_EC17_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Bought calls, Long positions"
IRFCLDT3_IRFCL5T_EC2_SHP_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Bought Puts, Short positions"
IRFCLDT3_IRFCL5T_EC17_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Bought calls, Long positions"
IRFCLDT3_IRFCL5T_EC9_LP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Written Puts, Long positions"
IRFCLDT4_IRFCL70X_XDC_IRFCL13,"Memorandum items, Securities lent and on repo, lent or repoed but not included in section I"
IRFCLDT4_IRFCL69_XDC_IRFCL13,"Memorandum items, Securities lent and on repo, borrowed or acquired and included in section I"
IRFCLDT3_IRFCL5T_EC2_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Bought Puts, Short positions"
IRFCLDT3_IRFCL5T_EC2_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Bought Puts, Short positions"
IRFCLDT3_IRFCL5T_EC1_SHP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Written Calls, Short positions"
IRFCLDT3_IRFCL5T_EC1_SHP_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Written Calls, Short positions"
IRFCLDT4_IRFCL11_DIC_JPY_XDC_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Japanese yen"
IRFCLDT3_IRFCL5T_EC9_LP_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total options in foreign currencies vis-a-vis the domestic currency, Written Puts, Long positions"
IRFCLDT4_IRFCL11_DIC_GBP_XDC_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Pound sterling"
IRFCLDT4_IRFCL11_DIC_USD_XDC_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in US dollar"
IRFCLDT3_OCL_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Other contingent liabilities"
IRFCLDT4_IRFCL11_DIC_EUR_XDC_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Euro"
IRFCLDT4_IRFCL70_XDC_IRFCL13,"Memorandum items, Securities lent and on repo, lent or repoed and included in section I"
IRFCLDT4_IRFCL69X_USD_IRFCL13,"Memorandum items, Securities lent and on repo, borrowed or acquired but not included in section I"
IRFCLDT4_IRFCL69X_EUR_IRFCL13,"Memorandum items, Securities lent and on repo, borrowed or acquired but not included in section I"
IRFCLDT4_IRFCL11_DIC_JPY_EUR_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Japanese yen"
IRFCLDT4_IRFCL69_USD_IRFCL13,"Memorandum items, Securities lent and on repo, borrowed or acquired and included in section I"
IRFCLDT4_IRFCL70X_EUR_IRFCL13,"Memorandum items, Securities lent and on repo, lent or repoed but not included in section I"
IRFCLDT4_IRFCL69_EUR_IRFCL13,"Memorandum items, Securities lent and on repo, borrowed or acquired and included in section I"
IRFCLDT4_IRFCL11_DIC_JPY_USD_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Japanese yen"
IRFCLDT4_IRFCL70X_USD_IRFCL13,"Memorandum items, Securities lent and on repo, lent or repoed but not included in section I"
IRFCLDT3_IRFCL95T_PB_BONS1XAONA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other National Monetary authorities"
IRFCLDT4_IRFCL11_DIC_GBP_USD_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Pound sterling"
IRFCLDT4_IRFCL70_USD_IRFCL13,"Memorandum items, Securities lent and on repo, lent or repoed and included in section I"
IRFCLDT3_IRFCL95T_PB_BONS1XAONA_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other National Monetary authorities"
IRFCLDT3_IRFCL95T_PB_BONS1XAONA_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other National Monetary authorities"
IRFCLDT4_IRFCL11_DIC_GBP_EUR_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Pound sterling"
IRFCLDT4_IRFCL1_LP_XDC_IRFCL13,"Memorandum items, Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), Long positions"
IRFCLDT4_IRFCL11_DIC_USD_USD_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in US dollar"
IRFCLDT3_OCL_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Other contingent liabilities"
IRFCLDT4_IRFCL11_DIC_CNY_XDC_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Chinese yuan renminbi"
IRFCLDT3_OCL_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Other contingent liabilities"
IRFCLDT4_IRFCL1_SHP_XDC_IRFCL13,"Memorandum items, Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), Short positions"
IRFCLDT3_SM3MUTY_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), More than 3 months and up to 1 year"
IRFCLDT4_IRFCL70_EUR_IRFCL13,"Memorandum items, Securities lent and on repo, lent or repoed and included in section I"
IRFCLDT3_IRFCL95T_PB_BONS1XAOTH_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other international monetary organizations"
IRFCLDT4_IRFCL11_DIC_EUR_EUR_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Euro"
IRFCLDT3_SM1MUT3M_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), More than 1 and up to 3 months"
IRFCLDT4_IRFCL53_XDC_IRFCL13,"Memorandum items, Pledged assets included in other foreign currency assets"
IRFCLDT4_IRFCL11_DIC_USD_EUR_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in US dollar"
IRFCLDT4_IRFCL11_DIC_EUR_USD_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Euro"
IRFCLDT4_IRFCL1_LP_USD_IRFCL13,"Memorandum items, Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), Long positions"
IRFCLDT4_IRFCL1_LP_EUR_IRFCL13,"Memorandum items, Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), Long positions"
IRFCLDT4_IRFCL1_SHP_USD_IRFCL13,"Memorandum items, Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), Short positions"
IRFCLDT3_IRFCL95T_PT_TONS1XAOTH_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, Other international monetary organizations"
IRFCLDT3_SM3MUTY_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), More than 3 months and up to 1 year"
IRFCLDT4_IRFCL11_DIC_CNY_USD_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Chinese yuan renminbi"
IRFCLDT3_SM3MUTY_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), More than 3 months and up to 1 year"
IRFCLDT3_SM1MUT3M_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), More than 1 and up to 3 months"
IRFCLDT3_IRFCL95T_PT_TONS1XAOTH_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, Other international monetary organizations"
IRFCLDT3_IRFCL95T_PT_TONS1XAOTH_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, Other international monetary organizations"
IRFCLDT4_IRFCL1_SHP_EUR_IRFCL13,"Memorandum items, Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), Short positions"
IRFCLDT4_IRFCL12_LP_XDC_IRFCL13,"Memorandum items, Financial derivatives (forwards futures or options contracts) , Long positions"
IRFCLDT3_IRFCL95T_PT_TONS1XAONA_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, Other National Monetary"
IRFCLDT3_IRFCL95T_PB_BONS1XAOTH_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other international monetary organizations"
IRFCLDT3_IRFCL95T_PB_BONS1XAOTH_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other international monetary organizations"
IRFCLDT4_IRFCL13_XDC_IRFCL13,"Memorandum items, Financial derivatives (forwards futures or options contracts), other instruments"
IRFCLDT4_IRFCL12_SHP_XDC_IRFCL13,"Memorandum items, Financial derivatives (forwards futures or options contracts) , Short positions"
IRFCLDT3_SM1MUT3M_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), More than 1 and up to 3 months"
IRFCLDT3_IRFCL95T_PT_TONS1XAONA_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, Other National Monetary"
IRFCLDT3_IRFCL95T_PT_TONS1XAONA_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided to, Other National Monetary"
IRFCLDT4_IRFCL11_DIC_CNY_EUR_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Chinese yuan renminbi"
IRFCLDT4_IRFCL13_USD_IRFCL13,"Memorandum items, Financial derivatives (forwards futures or options contracts), other instruments"
IRFCLDT3_SUTM_XDC_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Up to 1 month"
IRFCLDT4_IRFCL150_XDC_IRFCL13,"Memorandum items, Pledged assets included in reserve assets"
IRFCLDT4_IRFCL53_USD_IRFCL13,"Memorandum items, Pledged assets included in other foreign currency assets"
IRFCLDT4_IRFCL53_EUR_IRFCL13,"Memorandum items, Pledged assets included in other foreign currency assets"
IRFCLDT4_IRFCL12_SHP_USD_IRFCL13,"Memorandum items, Financial derivatives (forwards futures or options contracts) , Short positions"
IRFCLDT4_IRFCL12_LP_USD_IRFCL13,"Memorandum items, Financial derivatives (forwards futures or options contracts) , Long positions"
IRFCLDT4_IRFCLU103_A_XDC_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), options, Assets"
IRFCLDT4_IRFCLU99_A_XDC_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), forwards, Assets"
IRFCLDT4_IRFCLU101_A_XDC_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), futures, Assets"
IRFCLDT4_IRFCL11_DIC_GROUP_XDC_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Group of currencies"
IRFCLDT4_IRFCL11_DIC_XXDR_XDC_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Currencies not in SDR basket"
IRFCLDT4_IRFCL12_XDC_IRFCL13,"Memorandum items, Financial derivatives (forwards futures or options contracts)"
IRFCLDT4_IRFCL12_LP_EUR_IRFCL13,"Memorandum items, Financial derivatives (forwards futures or options contracts) , Long positions"
IRFCLDT4_IRFCL12_SHP_EUR_IRFCL13,"Memorandum items, Financial derivatives (forwards futures or options contracts) , Short positions"
IRFCLDT4_IRFCL13_EUR_IRFCL13,"Memorandum items, Financial derivatives (forwards futures or options contracts), other instruments"
IRFCLDT4_IRFCL68_XDC_IRFCL13,"Memorandum items, Securities lent and on repo"
IRFCLDT4_IRFCLU107_A_XDC_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), swaps, Assets"
IRFCLDT4_IRFCL11_DIC_XDRB_XDC_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Currencies in SDR basket"
IRFCLDT3_SUTM_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Up to 1 month"
IRFCLDT4_IRFCLU105_A_XDC_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), other, Assets"
IRFCLDT3_SUTM_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Up to 1 month"
IRFCLDT4_IRFCL150_USD_IRFCL13,"Memorandum items, Pledged assets included in reserve assets"
IRFCLDT4_IRFCLU97_A_XDC_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), Assets"
IRFCLDT4_IRFCL12_USD_IRFCL13,"Memorandum items, Financial derivatives (forwards futures or options contracts)"
IRFCLDT4_IRFCL11_DIC_XXDR_EUR_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Currencies not in SDR basket"
IRFCLDT4_IRFCL11_DIC_GROUP_USD_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Group of currencies"
IRFCLDT4_IRFCL150_EUR_IRFCL13,"Memorandum items, Pledged assets included in reserve assets"
IRFCLDT4_IRFCLU99_A_USD_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), forwards, Assets"
IRFCLDT4_IRFCL11_DIC_XXDR_USD_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Currencies not in SDR basket"
IRFCLDT4_IRFCLU103_A_USD_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), options, Assets"
IRFCLDT4_IRFCLU101_A_USD_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), futures, Assets"
IRFCLDT4_IRFCL5_LP_XDC_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Long positions"
IRFCLDT4_IRFCL5_SHP_XDC_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Short positions"
IRFCLDT4_IRFCLU101_A_EUR_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), futures, Assets"
IRFCLDT4_IRFCLU105_A_USD_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), other, Assets"
IRFCLDT4_IRFCL11_DIC_XDRB_USD_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Currencies in SDR basket"
IRFCLDT4_IRFCL11_DIC_XDRB_EUR_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Currencies in SDR basket"
IRFCLDT4_IRFCLU107_A_USD_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), swaps, Assets"
IRFCLDT4_IRFCLU99_A_EUR_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), forwards, Assets"
IRFCLDT4_IRFCL11_DIC_GROUP_EUR_IRFCL13,"Memorandum items, Currency composition of reserves, Denominated in Group of currencies"
IRFCLDT4_IRFCL12_EUR_IRFCL13,"Memorandum items, Financial derivatives (forwards futures or options contracts)"
IRFCLDT4_IRFCLU103_A_EUR_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), options, Assets"
IRFCLDT4_IRFCLU97_A_USD_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), Assets"
IRFCLDT4_IRFCLU105_A_EUR_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), other, Assets"
IRFCLDT4_IRFCL68_USD_IRFCL13,"Memorandum items, Securities lent and on repo"
IRFCLDT4_IRFCLU107_A_EUR_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), swaps, Assets"
IRFCLDT4_IRFCL5_SHP_USD_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Short positions"
IRFCLDT4_IRFCL5_LP_USD_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Long positions"
IRFCLDT3_IRFCL95T_PB_TONS1XA_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other National Monetary authorities and international organizations"
IRFCLDT4_IRFCLU97_A_EUR_IRFCL13,"Memorandum items, Financial derivatives (net marked to market), Assets"
IRFCLDT4_IRFCL68_EUR_IRFCL13,"Memorandum items, Securities lent and on repo"
IRFCLDT4_IRFCL5_LP_EUR_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Long positions"
IRFCLDT4_IRFCL5_SHP_EUR_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Short positions"
IRFCLDT4_IRFCL52_XDC_IRFCL13,"Memorandum items, Pledged assets"
IRFCLDT3_IRFCL95T_PB_TONS1XA_USD_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other National Monetary authorities and international organizations"
IRFCLDT2_IRFCL1T_SHP_EUR_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total forwards and futures in foreign currencies vis ã£ vis the domestic currency (including the forward leg of currency swaps), Short positions"
IRFCLDT4_IRFCL5_EC1_LP_XDC_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Written Calls, Long positions"
IRFCLDT4_IRFCL5_EC2_SHP_XDC_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Bought Puts, Short positions"
IRFCLDT4_IRFCL5_EC1_SHP_XDC_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Written Calls, Short positions"
IRFCLDT4_IRFCL5_EC2_LP_XDC_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Bought Puts, Long positions"
IRFCLDT2_IRFCL1T_SHP_USD_IRFCL13,"Predetermined short-term net drains on foreign currency assets (nominal value), Total forwards and futures in foreign currencies vis ã£ vis the domestic currency (including the forward leg of currency swaps), Short positions"
IRFCLDT3_IRFCL95T_PB_BONS1XAIMF_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other National Monetary authorities and international organizations, IMF"
IRFCLDT4_IRFCL5_EC2_SHP_USD_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Bought Puts, Short positions"
IRFCLDT4_IRFCL5_EC1_LP_USD_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Written Calls, Long positions"
IRFCLDT4_IRFCL5_EC1_SHP_USD_IRFCL13,"Memorandum items, Options in foreign currencies vis a  vis the domestic currency, Written Calls, Short positions"
IRFCLDT3_IRFCL95T_PB_BONS1XABIS_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, Other National Monetary authorities and international organizations, BIS"
IRFCLDT4_IRFCL52_USD_IRFCL13,"Memorandum items, Pledged assets"
IRFCLDT3_IRFCL95T_PB_BOFIRC_EUR_IRFCL13,"Contingent short-term net drains on foreign currency assets (nominal value), Total undrawn unconditional credit lines, Provided by, banks and other financial institutions in the reporting country"
